year,week,loc,state,country,loc_type,number,event
1918,17,WEST CHESTER,PA,US,CITY,1,CASES
1918,22,WEST CHESTER,PA,US,CITY,1,CASES
1918,33,WEST CHESTER,PA,US,CITY,1,CASES
1919,8,WEST CHESTER,PA,US,CITY,1,CASES
1919,9,WEST CHESTER,PA,US,CITY,2,CASES
1919,15,WEST CHESTER,PA,US,CITY,1,CASES
1919,17,WEST CHESTER,PA,US,CITY,1,CASES
1919,22,WEST CHESTER,PA,US,CITY,1,CASES
1919,23,WEST CHESTER,PA,US,CITY,1,CASES
1919,25,WEST CHESTER,PA,US,CITY,4,CASES
1919,26,WEST CHESTER,PA,US,CITY,1,CASES
1919,28,WEST CHESTER,PA,US,CITY,2,CASES
1919,29,WEST CHESTER,PA,US,CITY,3,CASES
1919,32,WEST CHESTER,PA,US,CITY,1,CASES
1919,33,WEST CHESTER,PA,US,CITY,3,CASES
1919,39,WEST CHESTER,PA,US,CITY,1,CASES
1919,41,WEST CHESTER,PA,US,CITY,4,CASES
1919,42,WEST CHESTER,PA,US,CITY,1,CASES
1919,44,WEST CHESTER,PA,US,CITY,1,CASES
1919,45,WEST CHESTER,PA,US,CITY,2,CASES
1919,48,WEST CHESTER,PA,US,CITY,3,CASES
1919,49,WEST CHESTER,PA,US,CITY,1,CASES
1919,50,WEST CHESTER,PA,US,CITY,2,CASES
1919,51,WEST CHESTER,PA,US,CITY,4,CASES
1919,52,WEST CHESTER,PA,US,CITY,1,CASES
1919,53,WEST CHESTER,PA,US,CITY,1,CASES
1920,2,WEST CHESTER,PA,US,CITY,4,CASES
1920,3,WEST CHESTER,PA,US,CITY,1,CASES
1920,5,WEST CHESTER,PA,US,CITY,1,CASES
1920,7,WEST CHESTER,PA,US,CITY,1,CASES
1920,15,WEST CHESTER,PA,US,CITY,1,CASES
1920,22,WEST CHESTER,PA,US,CITY,1,CASES
1920,30,WEST CHESTER,PA,US,CITY,1,CASES
1920,38,WEST CHESTER,PA,US,CITY,1,CASES
1920,40,WEST CHESTER,PA,US,CITY,3,CASES
1920,42,WEST CHESTER,PA,US,CITY,2,CASES
1920,43,WEST CHESTER,PA,US,CITY,2,CASES
1920,47,WEST CHESTER,PA,US,CITY,1,CASES
1921,20,WEST CHESTER,PA,US,CITY,4,CASES
1923,14,WEST CHESTER,PA,US,CITY,2,CASES
