year,week,loc,state,country,loc_type,number,event
1920,50,MARION,IN,US,CITY,1,CASES
1920,51,MARION,IN,US,CITY,2,CASES
1920,52,MARION,IN,US,CITY,2,CASES
1921,1,MARION,IN,US,CITY,3,CASES
1921,2,MARION,IN,US,CITY,1,CASES
1921,3,MARION,IN,US,CITY,1,CASES
1921,4,MARION,IN,US,CITY,2,CASES
1921,5,MARION,IN,US,CITY,1,CASES
1921,7,MARION,IN,US,CITY,2,CASES
1921,8,MARION,IN,US,CITY,3,CASES
1921,9,MARION,IN,US,CITY,2,CASES
1921,10,MARION,IN,US,CITY,2,CASES
1921,11,MARION,IN,US,CITY,2,CASES
1921,13,MARION,IN,US,CITY,4,CASES
1921,14,MARION,IN,US,CITY,2,CASES
1921,15,MARION,IN,US,CITY,1,CASES
1921,16,MARION,IN,US,CITY,1,CASES
1921,17,MARION,IN,US,CITY,2,CASES
1921,18,MARION,IN,US,CITY,2,CASES
1921,19,MARION,IN,US,CITY,1,CASES
1921,20,MARION,IN,US,CITY,3,CASES
1921,21,MARION,IN,US,CITY,3,CASES
1921,24,MARION,IN,US,CITY,2,CASES
1921,25,MARION,IN,US,CITY,1,CASES
1921,26,MARION,IN,US,CITY,1,CASES
1921,27,MARION,IN,US,CITY,2,CASES
1921,28,MARION,IN,US,CITY,1,CASES
1921,31,MARION,IN,US,CITY,1,CASES
1921,32,MARION,IN,US,CITY,3,CASES
1921,33,MARION,IN,US,CITY,8,CASES
1921,34,MARION,IN,US,CITY,5,CASES
1921,35,MARION,IN,US,CITY,3,CASES
1921,36,MARION,IN,US,CITY,6,CASES
1921,37,MARION,IN,US,CITY,2,CASES
1921,38,MARION,IN,US,CITY,2,CASES
1921,40,MARION,IN,US,CITY,4,CASES
1921,41,MARION,IN,US,CITY,11,CASES
1921,42,MARION,IN,US,CITY,7,CASES
1921,43,MARION,IN,US,CITY,12,CASES
1921,44,MARION,IN,US,CITY,3,CASES
1921,45,MARION,IN,US,CITY,11,CASES
1921,46,MARION,IN,US,CITY,8,CASES
1921,47,MARION,IN,US,CITY,5,CASES
1921,48,MARION,IN,US,CITY,4,CASES
1921,49,MARION,IN,US,CITY,5,CASES
1921,50,MARION,IN,US,CITY,3,CASES
1921,51,MARION,IN,US,CITY,2,CASES
1921,52,MARION,IN,US,CITY,6,CASES
