year,week,loc,state,country,loc_type,number,event
1920,3,TERRE HAUTE,IN,US,CITY,2,CASES
1920,4,TERRE HAUTE,IN,US,CITY,4,CASES
1920,5,TERRE HAUTE,IN,US,CITY,34,CASES
1920,7,TERRE HAUTE,IN,US,CITY,15,CASES
1920,8,TERRE HAUTE,IN,US,CITY,8,CASES
1920,49,TERRE HAUTE,IN,US,CITY,1,CASES
1924,1,TERRE HAUTE,IN,US,CITY,0,CASES
1924,2,TERRE HAUTE,IN,US,CITY,0,CASES
1924,4,TERRE HAUTE,IN,US,CITY,0,CASES
1924,5,TERRE HAUTE,IN,US,CITY,0,CASES
1924,6,TERRE HAUTE,IN,US,CITY,0,CASES
1924,7,TERRE HAUTE,IN,US,CITY,0,CASES
1924,8,TERRE HAUTE,IN,US,CITY,0,CASES
1924,9,TERRE HAUTE,IN,US,CITY,0,CASES
1924,10,TERRE HAUTE,IN,US,CITY,0,CASES
1924,12,TERRE HAUTE,IN,US,CITY,0,CASES
1924,13,TERRE HAUTE,IN,US,CITY,0,CASES
1924,14,TERRE HAUTE,IN,US,CITY,0,CASES
1924,15,TERRE HAUTE,IN,US,CITY,0,CASES
1924,16,TERRE HAUTE,IN,US,CITY,0,CASES
1924,17,TERRE HAUTE,IN,US,CITY,0,CASES
1924,18,TERRE HAUTE,IN,US,CITY,0,CASES
1924,19,TERRE HAUTE,IN,US,CITY,0,CASES
1924,20,TERRE HAUTE,IN,US,CITY,0,CASES
1924,21,TERRE HAUTE,IN,US,CITY,0,CASES
1924,22,TERRE HAUTE,IN,US,CITY,0,CASES
1924,23,TERRE HAUTE,IN,US,CITY,0,CASES
1924,24,TERRE HAUTE,IN,US,CITY,0,CASES
1924,25,TERRE HAUTE,IN,US,CITY,0,CASES
1924,26,TERRE HAUTE,IN,US,CITY,0,CASES
1924,27,TERRE HAUTE,IN,US,CITY,0,CASES
1924,28,TERRE HAUTE,IN,US,CITY,0,CASES
1924,29,TERRE HAUTE,IN,US,CITY,0,CASES
1924,30,TERRE HAUTE,IN,US,CITY,0,CASES
1924,31,TERRE HAUTE,IN,US,CITY,0,CASES
1924,32,TERRE HAUTE,IN,US,CITY,0,CASES
1924,33,TERRE HAUTE,IN,US,CITY,0,CASES
1924,34,TERRE HAUTE,IN,US,CITY,0,CASES
1924,35,TERRE HAUTE,IN,US,CITY,0,CASES
1924,36,TERRE HAUTE,IN,US,CITY,0,CASES
1924,37,TERRE HAUTE,IN,US,CITY,0,CASES
1924,38,TERRE HAUTE,IN,US,CITY,0,CASES
1924,39,TERRE HAUTE,IN,US,CITY,0,CASES
1924,40,TERRE HAUTE,IN,US,CITY,0,CASES
1924,41,TERRE HAUTE,IN,US,CITY,0,CASES
1924,42,TERRE HAUTE,IN,US,CITY,0,CASES
1924,43,TERRE HAUTE,IN,US,CITY,0,CASES
1924,44,TERRE HAUTE,IN,US,CITY,0,CASES
1924,45,TERRE HAUTE,IN,US,CITY,0,CASES
1924,46,TERRE HAUTE,IN,US,CITY,0,CASES
1924,47,TERRE HAUTE,IN,US,CITY,0,CASES
1924,48,TERRE HAUTE,IN,US,CITY,0,CASES
1924,49,TERRE HAUTE,IN,US,CITY,0,CASES
1924,50,TERRE HAUTE,IN,US,CITY,0,CASES
1924,51,TERRE HAUTE,IN,US,CITY,0,CASES
1924,52,TERRE HAUTE,IN,US,CITY,0,CASES
1924,53,TERRE HAUTE,IN,US,CITY,0,CASES
1925,1,TERRE HAUTE,IN,US,CITY,0,CASES
1925,2,TERRE HAUTE,IN,US,CITY,0,CASES
1925,3,TERRE HAUTE,IN,US,CITY,0,CASES
1925,4,TERRE HAUTE,IN,US,CITY,0,CASES
1925,5,TERRE HAUTE,IN,US,CITY,0,CASES
1925,6,TERRE HAUTE,IN,US,CITY,0,CASES
1925,7,TERRE HAUTE,IN,US,CITY,0,CASES
1925,9,TERRE HAUTE,IN,US,CITY,0,CASES
1925,12,TERRE HAUTE,IN,US,CITY,0,CASES
1925,13,TERRE HAUTE,IN,US,CITY,0,CASES
1925,15,TERRE HAUTE,IN,US,CITY,0,CASES
1925,17,TERRE HAUTE,IN,US,CITY,0,CASES
1925,18,TERRE HAUTE,IN,US,CITY,0,CASES
1925,19,TERRE HAUTE,IN,US,CITY,0,CASES
1925,21,TERRE HAUTE,IN,US,CITY,0,CASES
1925,22,TERRE HAUTE,IN,US,CITY,0,CASES
1925,23,TERRE HAUTE,IN,US,CITY,0,CASES
1925,25,TERRE HAUTE,IN,US,CITY,0,CASES
1925,26,TERRE HAUTE,IN,US,CITY,0,CASES
1925,27,TERRE HAUTE,IN,US,CITY,0,CASES
1925,28,TERRE HAUTE,IN,US,CITY,0,CASES
1925,29,TERRE HAUTE,IN,US,CITY,0,CASES
1925,30,TERRE HAUTE,IN,US,CITY,0,CASES
1925,32,TERRE HAUTE,IN,US,CITY,0,CASES
1925,33,TERRE HAUTE,IN,US,CITY,0,CASES
1925,34,TERRE HAUTE,IN,US,CITY,0,CASES
1925,35,TERRE HAUTE,IN,US,CITY,0,CASES
1925,36,TERRE HAUTE,IN,US,CITY,0,CASES
1925,37,TERRE HAUTE,IN,US,CITY,0,CASES
1925,38,TERRE HAUTE,IN,US,CITY,0,CASES
1925,39,TERRE HAUTE,IN,US,CITY,0,CASES
1925,40,TERRE HAUTE,IN,US,CITY,0,CASES
1925,41,TERRE HAUTE,IN,US,CITY,0,CASES
1925,42,TERRE HAUTE,IN,US,CITY,0,CASES
1925,43,TERRE HAUTE,IN,US,CITY,0,CASES
1925,44,TERRE HAUTE,IN,US,CITY,0,CASES
