year,week,loc,state,country,loc_type,number,event
1924,1,SAN ANTONIO,TX,US,CITY,0,CASES
1924,2,SAN ANTONIO,TX,US,CITY,1,CASES
1924,3,SAN ANTONIO,TX,US,CITY,0,CASES
1924,4,SAN ANTONIO,TX,US,CITY,1,CASES
1924,5,SAN ANTONIO,TX,US,CITY,2,CASES
1924,6,SAN ANTONIO,TX,US,CITY,1,CASES
1924,7,SAN ANTONIO,TX,US,CITY,1,CASES
1924,8,SAN ANTONIO,TX,US,CITY,3,CASES
1924,9,SAN ANTONIO,TX,US,CITY,0,CASES
1924,10,SAN ANTONIO,TX,US,CITY,0,CASES
1924,11,SAN ANTONIO,TX,US,CITY,0,CASES
1924,12,SAN ANTONIO,TX,US,CITY,2,CASES
1924,13,SAN ANTONIO,TX,US,CITY,3,CASES
1924,14,SAN ANTONIO,TX,US,CITY,0,CASES
1924,15,SAN ANTONIO,TX,US,CITY,0,CASES
1924,16,SAN ANTONIO,TX,US,CITY,1,CASES
1924,17,SAN ANTONIO,TX,US,CITY,0,CASES
1924,18,SAN ANTONIO,TX,US,CITY,0,CASES
1924,20,SAN ANTONIO,TX,US,CITY,0,CASES
1924,21,SAN ANTONIO,TX,US,CITY,0,CASES
1924,22,SAN ANTONIO,TX,US,CITY,0,CASES
1924,23,SAN ANTONIO,TX,US,CITY,1,CASES
1924,24,SAN ANTONIO,TX,US,CITY,0,CASES
1924,25,SAN ANTONIO,TX,US,CITY,0,CASES
1924,26,SAN ANTONIO,TX,US,CITY,0,CASES
1924,27,SAN ANTONIO,TX,US,CITY,0,CASES
1924,28,SAN ANTONIO,TX,US,CITY,1,CASES
1924,29,SAN ANTONIO,TX,US,CITY,0,CASES
1924,30,SAN ANTONIO,TX,US,CITY,0,CASES
1924,31,SAN ANTONIO,TX,US,CITY,0,CASES
1924,32,SAN ANTONIO,TX,US,CITY,0,CASES
1924,34,SAN ANTONIO,TX,US,CITY,0,CASES
1924,35,SAN ANTONIO,TX,US,CITY,0,CASES
1924,36,SAN ANTONIO,TX,US,CITY,0,CASES
1924,46,SAN ANTONIO,TX,US,CITY,1,CASES
1924,47,SAN ANTONIO,TX,US,CITY,0,CASES
1924,48,SAN ANTONIO,TX,US,CITY,0,CASES
1924,49,SAN ANTONIO,TX,US,CITY,1,CASES
