year,week,loc,state,country,loc_type,number,event
1924,7,NASHVILLE,TN,US,CITY,0,CASES
1924,8,NASHVILLE,TN,US,CITY,0,CASES
1924,11,NASHVILLE,TN,US,CITY,1,CASES
1924,12,NASHVILLE,TN,US,CITY,0,CASES
1924,16,NASHVILLE,TN,US,CITY,0,CASES
1924,17,NASHVILLE,TN,US,CITY,1,CASES
1924,18,NASHVILLE,TN,US,CITY,0,CASES
1924,27,NASHVILLE,TN,US,CITY,0,CASES
1924,42,NASHVILLE,TN,US,CITY,0,CASES
1924,50,NASHVILLE,TN,US,CITY,0,CASES
1925,3,NASHVILLE,TN,US,CITY,0,CASES
1925,11,NASHVILLE,TN,US,CITY,0,CASES
1925,13,NASHVILLE,TN,US,CITY,1,CASES
1925,16,NASHVILLE,TN,US,CITY,0,CASES
1925,23,NASHVILLE,TN,US,CITY,1,CASES
1925,26,NASHVILLE,TN,US,CITY,1,CASES
1925,27,NASHVILLE,TN,US,CITY,0,CASES
1925,30,NASHVILLE,TN,US,CITY,0,CASES
1925,35,NASHVILLE,TN,US,CITY,0,CASES
1925,43,NASHVILLE,TN,US,CITY,0,CASES
1925,44,NASHVILLE,TN,US,CITY,0,CASES
1925,45,NASHVILLE,TN,US,CITY,0,CASES
1926,5,NASHVILLE,TN,US,CITY,0,CASES
1926,27,NASHVILLE,TN,US,CITY,2,CASES
1926,28,NASHVILLE,TN,US,CITY,0,CASES
1926,32,NASHVILLE,TN,US,CITY,0,CASES
1926,36,NASHVILLE,TN,US,CITY,0,CASES
1926,39,NASHVILLE,TN,US,CITY,0,CASES
1926,43,NASHVILLE,TN,US,CITY,0,CASES
1926,46,NASHVILLE,TN,US,CITY,0,CASES
1926,49,NASHVILLE,TN,US,CITY,0,CASES
1926,50,NASHVILLE,TN,US,CITY,0,CASES
1927,5,NASHVILLE,TN,US,CITY,1,CASES
1927,6,NASHVILLE,TN,US,CITY,2,CASES
1927,7,NASHVILLE,TN,US,CITY,0,CASES
1927,8,NASHVILLE,TN,US,CITY,0,CASES
1927,9,NASHVILLE,TN,US,CITY,0,CASES
1927,10,NASHVILLE,TN,US,CITY,1,CASES
1927,12,NASHVILLE,TN,US,CITY,1,CASES
1927,13,NASHVILLE,TN,US,CITY,0,CASES
1927,14,NASHVILLE,TN,US,CITY,1,CASES
1927,18,NASHVILLE,TN,US,CITY,1,CASES
1927,19,NASHVILLE,TN,US,CITY,1,CASES
1927,20,NASHVILLE,TN,US,CITY,0,CASES
1927,21,NASHVILLE,TN,US,CITY,3,CASES
1927,22,NASHVILLE,TN,US,CITY,0,CASES
1927,24,NASHVILLE,TN,US,CITY,1,CASES
1927,25,NASHVILLE,TN,US,CITY,1,CASES
1927,27,NASHVILLE,TN,US,CITY,0,CASES
1927,31,NASHVILLE,TN,US,CITY,3,CASES
1927,32,NASHVILLE,TN,US,CITY,0,CASES
1927,33,NASHVILLE,TN,US,CITY,0,CASES
1927,34,NASHVILLE,TN,US,CITY,0,CASES
1927,35,NASHVILLE,TN,US,CITY,1,CASES
1927,36,NASHVILLE,TN,US,CITY,0,CASES
1927,37,NASHVILLE,TN,US,CITY,0,CASES
1927,38,NASHVILLE,TN,US,CITY,1,CASES
1927,39,NASHVILLE,TN,US,CITY,1,CASES
1927,40,NASHVILLE,TN,US,CITY,0,CASES
1927,41,NASHVILLE,TN,US,CITY,1,CASES
1927,42,NASHVILLE,TN,US,CITY,0,CASES
1927,43,NASHVILLE,TN,US,CITY,0,CASES
1927,44,NASHVILLE,TN,US,CITY,0,CASES
1927,46,NASHVILLE,TN,US,CITY,0,CASES
1928,3,NASHVILLE,TN,US,CITY,0,CASES
1928,4,NASHVILLE,TN,US,CITY,1,CASES
1928,6,NASHVILLE,TN,US,CITY,1,CASES
1928,7,NASHVILLE,TN,US,CITY,0,CASES
1928,13,NASHVILLE,TN,US,CITY,0,CASES
1928,14,NASHVILLE,TN,US,CITY,0,CASES
1928,15,NASHVILLE,TN,US,CITY,1,CASES
1928,16,NASHVILLE,TN,US,CITY,1,CASES
1928,17,NASHVILLE,TN,US,CITY,0,CASES
1928,19,NASHVILLE,TN,US,CITY,1,CASES
1928,24,NASHVILLE,TN,US,CITY,2,CASES
1928,25,NASHVILLE,TN,US,CITY,0,CASES
1928,26,NASHVILLE,TN,US,CITY,2,CASES
1928,28,NASHVILLE,TN,US,CITY,1,CASES
1928,29,NASHVILLE,TN,US,CITY,3,CASES
1928,30,NASHVILLE,TN,US,CITY,1,CASES
1928,32,NASHVILLE,TN,US,CITY,0,CASES
1928,33,NASHVILLE,TN,US,CITY,0,CASES
1928,34,NASHVILLE,TN,US,CITY,4,CASES
1928,35,NASHVILLE,TN,US,CITY,0,CASES
1928,37,NASHVILLE,TN,US,CITY,0,CASES
1928,38,NASHVILLE,TN,US,CITY,1,CASES
1928,39,NASHVILLE,TN,US,CITY,0,CASES
1928,40,NASHVILLE,TN,US,CITY,0,CASES
1928,41,NASHVILLE,TN,US,CITY,1,CASES
1928,43,NASHVILLE,TN,US,CITY,1,CASES
1928,47,NASHVILLE,TN,US,CITY,1,CASES
1928,48,NASHVILLE,TN,US,CITY,1,CASES
1928,50,NASHVILLE,TN,US,CITY,0,CASES
1928,51,NASHVILLE,TN,US,CITY,3,CASES
1929,3,NASHVILLE,TN,US,CITY,0,CASES
1929,4,NASHVILLE,TN,US,CITY,0,CASES
1929,6,NASHVILLE,TN,US,CITY,0,CASES
1929,7,NASHVILLE,TN,US,CITY,0,CASES
1929,8,NASHVILLE,TN,US,CITY,1,CASES
1929,9,NASHVILLE,TN,US,CITY,0,CASES
1929,12,NASHVILLE,TN,US,CITY,0,CASES
1929,14,NASHVILLE,TN,US,CITY,0,CASES
1929,15,NASHVILLE,TN,US,CITY,0,CASES
1929,18,NASHVILLE,TN,US,CITY,0,CASES
1929,19,NASHVILLE,TN,US,CITY,1,CASES
1929,20,NASHVILLE,TN,US,CITY,2,CASES
1929,26,NASHVILLE,TN,US,CITY,1,CASES
1929,27,NASHVILLE,TN,US,CITY,0,CASES
1929,28,NASHVILLE,TN,US,CITY,0,CASES
1929,34,NASHVILLE,TN,US,CITY,0,CASES
1929,35,NASHVILLE,TN,US,CITY,0,CASES
1929,37,NASHVILLE,TN,US,CITY,0,CASES
1929,40,NASHVILLE,TN,US,CITY,0,CASES
1929,49,NASHVILLE,TN,US,CITY,0,CASES
1929,50,NASHVILLE,TN,US,CITY,0,CASES
1929,51,NASHVILLE,TN,US,CITY,0,CASES
1930,1,NASHVILLE,TN,US,CITY,0,CASES
1930,2,NASHVILLE,TN,US,CITY,0,CASES
1930,3,NASHVILLE,TN,US,CITY,0,CASES
1930,4,NASHVILLE,TN,US,CITY,0,CASES
1930,5,NASHVILLE,TN,US,CITY,0,CASES
1930,8,NASHVILLE,TN,US,CITY,0,CASES
1930,9,NASHVILLE,TN,US,CITY,0,CASES
1930,10,NASHVILLE,TN,US,CITY,0,CASES
1930,11,NASHVILLE,TN,US,CITY,0,CASES
1930,12,NASHVILLE,TN,US,CITY,0,CASES
1930,13,NASHVILLE,TN,US,CITY,0,CASES
1930,14,NASHVILLE,TN,US,CITY,0,CASES
1930,15,NASHVILLE,TN,US,CITY,0,CASES
1930,16,NASHVILLE,TN,US,CITY,0,CASES
1930,17,NASHVILLE,TN,US,CITY,0,CASES
1930,18,NASHVILLE,TN,US,CITY,0,CASES
1930,20,NASHVILLE,TN,US,CITY,0,CASES
1930,23,NASHVILLE,TN,US,CITY,0,CASES
1930,26,NASHVILLE,TN,US,CITY,0,CASES
1930,27,NASHVILLE,TN,US,CITY,1,CASES
1930,28,NASHVILLE,TN,US,CITY,0,CASES
1930,31,NASHVILLE,TN,US,CITY,0,CASES
1930,32,NASHVILLE,TN,US,CITY,0,CASES
1930,33,NASHVILLE,TN,US,CITY,0,CASES
1930,43,NASHVILLE,TN,US,CITY,0,CASES
1930,46,NASHVILLE,TN,US,CITY,0,CASES
1930,47,NASHVILLE,TN,US,CITY,0,CASES
1930,48,NASHVILLE,TN,US,CITY,0,CASES
1930,50,NASHVILLE,TN,US,CITY,0,CASES
1931,6,NASHVILLE,TN,US,CITY,0,CASES
1931,7,NASHVILLE,TN,US,CITY,0,CASES
1931,8,NASHVILLE,TN,US,CITY,0,CASES
1931,9,NASHVILLE,TN,US,CITY,1,CASES
1931,11,NASHVILLE,TN,US,CITY,0,CASES
1931,12,NASHVILLE,TN,US,CITY,0,CASES
1931,13,NASHVILLE,TN,US,CITY,0,CASES
1931,14,NASHVILLE,TN,US,CITY,0,CASES
1931,15,NASHVILLE,TN,US,CITY,0,CASES
1931,16,NASHVILLE,TN,US,CITY,0,CASES
1931,18,NASHVILLE,TN,US,CITY,0,CASES
1931,20,NASHVILLE,TN,US,CITY,0,CASES
1931,21,NASHVILLE,TN,US,CITY,0,CASES
1931,23,NASHVILLE,TN,US,CITY,0,CASES
1931,25,NASHVILLE,TN,US,CITY,0,CASES
1931,26,NASHVILLE,TN,US,CITY,0,CASES
1931,33,NASHVILLE,TN,US,CITY,0,CASES
1931,35,NASHVILLE,TN,US,CITY,1,CASES
1931,36,NASHVILLE,TN,US,CITY,1,CASES
1931,37,NASHVILLE,TN,US,CITY,0,CASES
1931,38,NASHVILLE,TN,US,CITY,0,CASES
1931,39,NASHVILLE,TN,US,CITY,0,CASES
1931,40,NASHVILLE,TN,US,CITY,0,CASES
1931,41,NASHVILLE,TN,US,CITY,0,CASES
1931,43,NASHVILLE,TN,US,CITY,0,CASES
1931,48,NASHVILLE,TN,US,CITY,0,CASES
1931,51,NASHVILLE,TN,US,CITY,0,CASES
1931,52,NASHVILLE,TN,US,CITY,0,CASES
1932,1,NASHVILLE,TN,US,CITY,0,CASES
1932,2,NASHVILLE,TN,US,CITY,0,CASES
1932,24,NASHVILLE,TN,US,CITY,0,CASES
1932,27,NASHVILLE,TN,US,CITY,1,CASES
1932,30,NASHVILLE,TN,US,CITY,0,CASES
1932,32,NASHVILLE,TN,US,CITY,0,CASES
1932,34,NASHVILLE,TN,US,CITY,0,CASES
1932,37,NASHVILLE,TN,US,CITY,1,CASES
1932,39,NASHVILLE,TN,US,CITY,0,CASES
