year,week,loc,state,country,loc_type,number,event
1921,7,CLIFTON,NJ,US,CITY,3,CASES
1921,9,CLIFTON,NJ,US,CITY,6,CASES
1921,10,CLIFTON,NJ,US,CITY,5,CASES
1921,11,CLIFTON,NJ,US,CITY,6,CASES
1921,12,CLIFTON,NJ,US,CITY,1,CASES
1921,13,CLIFTON,NJ,US,CITY,2,CASES
1921,14,CLIFTON,NJ,US,CITY,2,CASES
1921,16,CLIFTON,NJ,US,CITY,2,CASES
1921,17,CLIFTON,NJ,US,CITY,3,CASES
1921,18,CLIFTON,NJ,US,CITY,1,CASES
1921,19,CLIFTON,NJ,US,CITY,1,CASES
1921,20,CLIFTON,NJ,US,CITY,1,CASES
1921,22,CLIFTON,NJ,US,CITY,1,CASES
1921,23,CLIFTON,NJ,US,CITY,1,CASES
1921,24,CLIFTON,NJ,US,CITY,2,CASES
1921,25,CLIFTON,NJ,US,CITY,1,CASES
1921,26,CLIFTON,NJ,US,CITY,1,CASES
1921,27,CLIFTON,NJ,US,CITY,1,CASES
1921,28,CLIFTON,NJ,US,CITY,4,CASES
1921,29,CLIFTON,NJ,US,CITY,2,CASES
1921,30,CLIFTON,NJ,US,CITY,2,CASES
1921,31,CLIFTON,NJ,US,CITY,1,CASES
1921,32,CLIFTON,NJ,US,CITY,3,CASES
1921,36,CLIFTON,NJ,US,CITY,3,CASES
1921,37,CLIFTON,NJ,US,CITY,1,CASES
1921,39,CLIFTON,NJ,US,CITY,1,CASES
1921,41,CLIFTON,NJ,US,CITY,1,CASES
1921,43,CLIFTON,NJ,US,CITY,4,CASES
1921,44,CLIFTON,NJ,US,CITY,1,CASES
1921,45,CLIFTON,NJ,US,CITY,1,CASES
1921,48,CLIFTON,NJ,US,CITY,2,CASES
1921,49,CLIFTON,NJ,US,CITY,3,CASES
1921,50,CLIFTON,NJ,US,CITY,1,CASES
1921,51,CLIFTON,NJ,US,CITY,1,CASES
1921,52,CLIFTON,NJ,US,CITY,2,CASES
1922,1,CLIFTON,NJ,US,CITY,1,CASES
1922,2,CLIFTON,NJ,US,CITY,4,CASES
1922,4,CLIFTON,NJ,US,CITY,2,CASES
1922,5,CLIFTON,NJ,US,CITY,2,CASES
1922,6,CLIFTON,NJ,US,CITY,1,CASES
1922,7,CLIFTON,NJ,US,CITY,3,CASES
1922,8,CLIFTON,NJ,US,CITY,6,CASES
1922,9,CLIFTON,NJ,US,CITY,3,CASES
1922,10,CLIFTON,NJ,US,CITY,1,CASES
1922,11,CLIFTON,NJ,US,CITY,2,CASES
1922,12,CLIFTON,NJ,US,CITY,3,CASES
1922,13,CLIFTON,NJ,US,CITY,1,CASES
1922,14,CLIFTON,NJ,US,CITY,3,CASES
1922,16,CLIFTON,NJ,US,CITY,4,CASES
1922,17,CLIFTON,NJ,US,CITY,1,CASES
1922,18,CLIFTON,NJ,US,CITY,3,CASES
1922,19,CLIFTON,NJ,US,CITY,5,CASES
1922,20,CLIFTON,NJ,US,CITY,6,CASES
1922,21,CLIFTON,NJ,US,CITY,6,CASES
1922,22,CLIFTON,NJ,US,CITY,6,CASES
1922,23,CLIFTON,NJ,US,CITY,3,CASES
1922,24,CLIFTON,NJ,US,CITY,1,CASES
1922,25,CLIFTON,NJ,US,CITY,3,CASES
1922,26,CLIFTON,NJ,US,CITY,1,CASES
1922,27,CLIFTON,NJ,US,CITY,1,CASES
1922,28,CLIFTON,NJ,US,CITY,1,CASES
1922,29,CLIFTON,NJ,US,CITY,1,CASES
1922,39,CLIFTON,NJ,US,CITY,1,CASES
1922,40,CLIFTON,NJ,US,CITY,1,CASES
1922,42,CLIFTON,NJ,US,CITY,1,CASES
1922,43,CLIFTON,NJ,US,CITY,2,CASES
1922,44,CLIFTON,NJ,US,CITY,5,CASES
1922,45,CLIFTON,NJ,US,CITY,10,CASES
1922,47,CLIFTON,NJ,US,CITY,2,CASES
1922,48,CLIFTON,NJ,US,CITY,2,CASES
1922,49,CLIFTON,NJ,US,CITY,2,CASES
1922,50,CLIFTON,NJ,US,CITY,1,CASES
1922,51,CLIFTON,NJ,US,CITY,2,CASES
1922,52,CLIFTON,NJ,US,CITY,2,CASES
1923,1,CLIFTON,NJ,US,CITY,2,CASES
1923,2,CLIFTON,NJ,US,CITY,2,CASES
1923,3,CLIFTON,NJ,US,CITY,6,CASES
1923,4,CLIFTON,NJ,US,CITY,2,CASES
1923,7,CLIFTON,NJ,US,CITY,2,CASES
1923,8,CLIFTON,NJ,US,CITY,8,CASES
1923,9,CLIFTON,NJ,US,CITY,3,CASES
1923,10,CLIFTON,NJ,US,CITY,2,CASES
1923,12,CLIFTON,NJ,US,CITY,1,CASES
1923,15,CLIFTON,NJ,US,CITY,2,CASES
1923,17,CLIFTON,NJ,US,CITY,1,CASES
1923,18,CLIFTON,NJ,US,CITY,2,CASES
1923,19,CLIFTON,NJ,US,CITY,2,CASES
1923,22,CLIFTON,NJ,US,CITY,1,CASES
1923,27,CLIFTON,NJ,US,CITY,1,CASES
1923,44,CLIFTON,NJ,US,CITY,1,CASES
1923,46,CLIFTON,NJ,US,CITY,1,CASES
1923,49,CLIFTON,NJ,US,CITY,1,CASES
1923,52,CLIFTON,NJ,US,CITY,2,CASES
