year,week,loc,state,country,loc_type,number,event
1924,2,ALBUQUERQUE,NM,US,CITY,0,CASES
1924,13,ALBUQUERQUE,NM,US,CITY,0,CASES
1924,14,ALBUQUERQUE,NM,US,CITY,0,CASES
1924,15,ALBUQUERQUE,NM,US,CITY,1,CASES
1924,19,ALBUQUERQUE,NM,US,CITY,0,CASES
1924,26,ALBUQUERQUE,NM,US,CITY,0,CASES
1924,34,ALBUQUERQUE,NM,US,CITY,0,CASES
1924,38,ALBUQUERQUE,NM,US,CITY,0,CASES
1924,47,ALBUQUERQUE,NM,US,CITY,0,CASES
1925,38,ALBUQUERQUE,NM,US,CITY,2,CASES
1926,1,ALBUQUERQUE,NM,US,CITY,0,CASES
1926,24,ALBUQUERQUE,NM,US,CITY,1,CASES
1926,49,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,11,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,12,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,28,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,31,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,33,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,34,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,37,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,38,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,39,ALBUQUERQUE,NM,US,CITY,0,CASES
1927,40,ALBUQUERQUE,NM,US,CITY,0,CASES
1928,6,ALBUQUERQUE,NM,US,CITY,0,CASES
1928,10,ALBUQUERQUE,NM,US,CITY,0,CASES
1928,29,ALBUQUERQUE,NM,US,CITY,0,CASES
1928,30,ALBUQUERQUE,NM,US,CITY,0,CASES
1928,32,ALBUQUERQUE,NM,US,CITY,0,CASES
1928,48,ALBUQUERQUE,NM,US,CITY,0,CASES
1929,2,ALBUQUERQUE,NM,US,CITY,0,CASES
1929,7,ALBUQUERQUE,NM,US,CITY,0,CASES
1929,19,ALBUQUERQUE,NM,US,CITY,0,CASES
1929,33,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,3,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,5,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,6,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,7,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,20,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,33,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,36,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,39,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,40,ALBUQUERQUE,NM,US,CITY,1,CASES
1930,45,ALBUQUERQUE,NM,US,CITY,0,CASES
1930,46,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,2,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,4,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,15,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,21,ALBUQUERQUE,NM,US,CITY,1,CASES
1931,23,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,24,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,25,ALBUQUERQUE,NM,US,CITY,1,CASES
1931,30,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,32,ALBUQUERQUE,NM,US,CITY,1,CASES
1931,33,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,37,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,39,ALBUQUERQUE,NM,US,CITY,0,CASES
1931,52,ALBUQUERQUE,NM,US,CITY,0,CASES
1932,1,ALBUQUERQUE,NM,US,CITY,0,CASES
1932,3,ALBUQUERQUE,NM,US,CITY,0,CASES
1932,29,ALBUQUERQUE,NM,US,CITY,0,CASES
1932,38,ALBUQUERQUE,NM,US,CITY,1,CASES
1932,39,ALBUQUERQUE,NM,US,CITY,2,CASES
