year,week,loc,state,country,loc_type,number,event
1924,3,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,5,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,6,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,7,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,8,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,10,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,19,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,22,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,23,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,25,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,30,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,31,WINSTON-SALEM,NC,US,CITY,1,CASES
1924,35,WINSTON-SALEM,NC,US,CITY,1,CASES
1924,45,WINSTON-SALEM,NC,US,CITY,0,CASES
1924,48,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,4,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,11,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,13,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,14,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,17,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,18,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,21,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,30,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,34,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,35,WINSTON-SALEM,NC,US,CITY,1,CASES
1925,39,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,43,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,49,WINSTON-SALEM,NC,US,CITY,0,CASES
1925,51,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,7,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,18,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,21,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,27,WINSTON-SALEM,NC,US,CITY,2,CASES
1926,28,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,30,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,31,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,32,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,33,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,34,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,35,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,38,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,45,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,47,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,50,WINSTON-SALEM,NC,US,CITY,0,CASES
1926,52,WINSTON-SALEM,NC,US,CITY,1,CASES
1927,15,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,16,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,19,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,20,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,25,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,28,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,30,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,33,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,35,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,38,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,39,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,40,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,41,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,42,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,43,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,44,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,47,WINSTON-SALEM,NC,US,CITY,0,CASES
1927,49,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,8,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,24,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,23,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,32,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,33,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,34,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,35,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,37,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,38,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,39,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,40,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,41,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,42,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,43,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,45,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,46,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,47,WINSTON-SALEM,NC,US,CITY,0,CASES
1928,50,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,4,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,6,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,9,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,10,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,11,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,15,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,16,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,17,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,19,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,23,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,25,WINSTON-SALEM,NC,US,CITY,1,CASES
1929,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,27,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,28,WINSTON-SALEM,NC,US,CITY,1,CASES
1929,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,30,WINSTON-SALEM,NC,US,CITY,1,CASES
1929,31,WINSTON-SALEM,NC,US,CITY,1,CASES
1929,32,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,33,WINSTON-SALEM,NC,US,CITY,1,CASES
1929,35,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,36,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,39,WINSTON-SALEM,NC,US,CITY,2,CASES
1929,40,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,41,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,42,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,43,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,44,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,45,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,46,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,47,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,48,WINSTON-SALEM,NC,US,CITY,0,CASES
1929,50,WINSTON-SALEM,NC,US,CITY,1,CASES
1929,51,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,1,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,2,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,3,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,7,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,8,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,11,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,14,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,15,WINSTON-SALEM,NC,US,CITY,1,CASES
1930,17,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,18,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,19,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,22,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,27,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,28,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,30,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,31,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,32,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,34,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,35,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,38,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,39,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,40,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,44,WINSTON-SALEM,NC,US,CITY,0,CASES
1930,45,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,6,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,7,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,8,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,9,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,10,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,11,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,13,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,15,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,17,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,18,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,19,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,20,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,21,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,22,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,23,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,24,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,29,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,31,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,34,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,36,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,38,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,39,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,45,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,47,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,48,WINSTON-SALEM,NC,US,CITY,0,CASES
1931,49,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,3,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,7,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,8,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,9,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,11,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,13,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,14,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,16,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,17,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,18,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,19,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,20,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,21,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,22,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,23,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,24,WINSTON-SALEM,NC,US,CITY,0,CASES
1932,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1933,9,WINSTON-SALEM,NC,US,CITY,0,CASES
1933,37,WINSTON-SALEM,NC,US,CITY,0,CASES
1933,45,WINSTON-SALEM,NC,US,CITY,0,CASES
1933,50,WINSTON-SALEM,NC,US,CITY,0,CASES
1933,52,WINSTON-SALEM,NC,US,CITY,1,CASES
1934,1,WINSTON-SALEM,NC,US,CITY,0,CASES
1934,18,WINSTON-SALEM,NC,US,CITY,0,CASES
1934,35,WINSTON-SALEM,NC,US,CITY,0,CASES
1935,13,WINSTON-SALEM,NC,US,CITY,1,CASES
1935,20,WINSTON-SALEM,NC,US,CITY,0,CASES
1935,23,WINSTON-SALEM,NC,US,CITY,0,CASES
1935,26,WINSTON-SALEM,NC,US,CITY,0,CASES
1936,13,WINSTON-SALEM,NC,US,CITY,0,CASES
1936,36,WINSTON-SALEM,NC,US,CITY,0,CASES
1936,53,WINSTON-SALEM,NC,US,CITY,0,CASES
1937,1,WINSTON-SALEM,NC,US,CITY,0,CASES
1937,13,WINSTON-SALEM,NC,US,CITY,0,CASES
1937,31,WINSTON-SALEM,NC,US,CITY,0,CASES
1937,47,WINSTON-SALEM,NC,US,CITY,0,CASES
1938,6,WINSTON-SALEM,NC,US,CITY,0,CASES
1938,34,WINSTON-SALEM,NC,US,CITY,0,CASES
1939,24,WINSTON-SALEM,NC,US,CITY,0,CASES
1940,43,WINSTON-SALEM,NC,US,CITY,1,CASES
1941,1,WINSTON-SALEM,NC,US,CITY,0,CASES
1941,53,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,1,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,2,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,3,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,4,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,5,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,6,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,7,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,8,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,9,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,10,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,11,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,12,WINSTON-SALEM,NC,US,CITY,0,CASES
1942,13,WINSTON-SALEM,NC,US,CITY,0,CASES
